exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1671665606582901,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1671665606000,sell-CXD-USDT-1671665508002174,SELL,LIMIT,0.013371,573.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:01:38
1671665606746639,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1671665606000,sell-CXD-USDT-1671665508002174,SELL,LIMIT,0.013371,557.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:01:38
1671681643075116,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1671681643000,buy-CXD-USDT-1671681429002263,BUY,LIMIT,0.013361,2067.98,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:03:34
1671853448409179,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1671853448000,buy-CXD-USDT-1671853384001729,BUY,LIMIT,0.013332,1042.34,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:01:04
1672200021844912,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672200021000,buy-CXD-USDT-1672199613001992,BUY,LIMIT,0.013371,8739.29,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:06:48
1672201238766374,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672201238000,buy-CXD-USDT-1672201229007099,BUY,LIMIT,0.013388,7942.2,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:09
1672201238997514,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672201238000,buy-CXD-USDT-1672201229007196,BUY,LIMIT,0.01337,7942.2,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:09
1672201979783413,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672201979000,buy-CXD-USDT-1672201954002364,BUY,LIMIT,0.013372,500.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:25
1672257045482692,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257045000,sell-CXD-USDT-1672257033032683,SELL,LIMIT,0.013396,11531.86,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257045726446,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257045000,sell-CXD-USDT-1672257033032718,SELL,LIMIT,0.013413,12813.17,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257045953767,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257045000,sell-CXD-USDT-1672257033032741,SELL,LIMIT,0.013431,14094.49,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257046180082,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257046000,sell-CXD-USDT-1672257033032766,SELL,LIMIT,0.013448,15375.81,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257046409070,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257046000,sell-CXD-USDT-1672257033032786,SELL,LIMIT,0.013466,16657.13,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257046650427,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257046000,sell-CXD-USDT-1672257033032805,SELL,LIMIT,0.013483,17938.45,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257046888714,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257046000,sell-CXD-USDT-1672257033032826,SELL,LIMIT,0.0135,19219.76,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1672257047121946,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257047000,sell-CXD-USDT-1672257033032845,SELL,LIMIT,0.013518,18847.03,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672257299278750,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257299000,buy-CXD-USDT-1672257290034573,BUY,LIMIT,0.014953,401.25,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:09
1672257329972431,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257329000,buy-CXD-USDT-1672257320007386,BUY,LIMIT,0.014975,17959.07,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:09
1672257330205391,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257330000,buy-CXD-USDT-1672257320007464,BUY,LIMIT,0.014956,19954.53,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:10
1672257330475372,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257330000,buy-CXD-USDT-1672257320007492,BUY,LIMIT,0.014936,21949.98,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:10
1672257330759056,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257330000,buy-CXD-USDT-1672257320007516,BUY,LIMIT,0.014917,23945.43,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:10
1672257331039743,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257330000,buy-CXD-USDT-1672257320007538,BUY,LIMIT,0.014897,25940.88,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:10
1672257331313698,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257331000,buy-CXD-USDT-1672257320007608,BUY,LIMIT,0.014839,10635.63,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:11
1672257331333673,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257331000,buy-CXD-USDT-1672257320007565,BUY,LIMIT,0.014878,27936.34,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:11
1672257331633231,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672257331000,buy-CXD-USDT-1672257320007587,BUY,LIMIT,0.014858,29931.79,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:11
1672258555285563,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672258555000,sell-CXD-USDT-1672258539047931,SELL,LIMIT,0.013722,728.75,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:16
1672282129257965,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,732.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129371539,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,610.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129485331,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,914.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129598808,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,976.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129711967,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,769.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129826573,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,865.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282129944644,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282129000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,986.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1672282130065537,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282130000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,524.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:14
1672282130179923,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282130000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,925.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:14
1672282130294730,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672282130000,sell-CXD-USDT-1672282116031427,SELL,LIMIT,0.013306,741.00,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:14
1672284197337146,conf_pure_mm_mexc_cxd_2p2p_1500cxd.yml,pure_market_making,mexc,CXD-USDT,CXD,USDT,1672284197000,buy-CXD-USDT-1672284178001832,BUY,LIMIT,0.013288,526.79,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:19
